,token1,similarity,token2
0,man,10,man
1,man,4,time
2,man,6,men
3,man,3,Mr.
4,man,5,way
5,man,4,day
6,man,5,life
7,man,1,la
8,man,5,hand
9,man,5,people
10,man,4,place
11,man,4,years
12,man,5,eyes
13,man,4,work
14,man,5,God
15,man,4,night
16,man,4,world
17,man,5,things
18,man,5,face
19,man,5,head
20,man,2,van
21,man,4,house
22,man,4,door
23,man,6,thing
24,man,4,home
25,man,3,water
26,man,1,Mrs.
27,man,6,father
28,man,3,course
29,man,5,moment
30,man,3,days
31,man,4,THE
32,man,4,country
33,man,4,heart
34,man,5,son
35,man,6,mind
36,man,3,room
37,man,5,mother
38,man,6,woman
39,man,5,hands
40,man,4,Lord
41,man,4,morning
42,man,4,end
43,man,3,children
44,man,4,words
45,man,3,power
46,man,3,year
47,man,2,e
48,man,4,A
49,man,6,girl
50,man,4,feet
51,man,3,voice
52,man,4,point
53,man,5,kind
54,man,5,matter
55,man,3,order
56,man,4,Miss
57,man,5,fact
58,man,5,death
59,man,4,war
60,man,4,word
61,man,3,New
62,man,3,case
63,man,3,John
64,man,4,child
65,man,6,boy
66,man,2,St.
67,man,4,body
68,man,3,air
69,man,5,love
70,man,4,money
71,man,5,friend
72,man,3,times
73,man,3,line
74,man,4,right
75,man,4,fire
76,man,5,wife
77,man,4,friends
78,man,5,women
79,man,1,De
80,man,2,M.
81,man,2,States
82,man,3,question
83,man,3,light
84,man,3,business
85,man,3,family
86,man,3,Illustration
87,man,2,number
88,man,4,Sir
89,man,3,use
90,man,3,ground
91,man,5,story
92,man,4,nature
93,man,3,party
94,man,2,England
95,man,2,o
96,man,3,hour
97,man,4,town
98,man,4,city
99,man,5,reason
100,time,4,man
101,time,10,time
102,time,3,men
103,time,2,Mr.
104,time,6,way
105,time,6,day
106,time,6,life
107,time,1,la
108,time,5,hand
109,time,5,people
110,time,6,place
111,time,6,years
112,time,4,eyes
113,time,6,work
114,time,3,God
115,time,5,night
116,time,5,world
117,time,6,things
118,time,4,face
119,time,4,head
120,time,1,van
121,time,4,house
122,time,3,door
123,time,6,thing
124,time,5,home
125,time,4,water
126,time,1,Mrs.
127,time,4,father
128,time,5,course
129,time,6,moment
130,time,6,days
131,time,5,THE
132,time,4,country
133,time,4,heart
134,time,3,son
135,time,6,mind
136,time,4,room
137,time,4,mother
138,time,4,woman
139,time,5,hands
140,time,2,Lord
141,time,5,morning
142,time,6,end
143,time,4,children
144,time,4,words
145,time,4,power
146,time,6,year
147,time,2,e
148,time,5,A
149,time,4,girl
150,time,3,feet
151,time,3,voice
152,time,6,point
153,time,6,kind
154,time,6,matter
155,time,5,order
156,time,5,Miss
157,time,5,fact
158,time,4,death
159,time,4,war
160,time,4,word
161,time,4,New
162,time,4,case
163,time,2,John
164,time,4,child
165,time,4,boy
166,time,1,St.
167,time,3,body
168,time,3,air
169,time,5,love
170,time,5,money
171,time,5,friend
172,time,6,times
173,time,3,line
174,time,6,right
175,time,3,fire
176,time,4,wife
177,time,5,friends
178,time,3,women
179,time,1,De
180,time,1,M.
181,time,4,States
182,time,4,question
183,time,4,light
184,time,4,business
185,time,4,family
186,time,2,Illustration
187,time,4,number
188,time,3,Sir
189,time,5,use
190,time,4,ground
